estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
119,301,32,"(1000000, 271)","(8, 32)",8500000,1.4197051335406108,4.8108581413427896,Compute
120,301,32,"(1000000, 271)","(16, 1)",16937500,2.4020545664266946,2.843399186455757,Compute
121,301,32,"(1000000, 271)","(16, 2)",8500000,1.4197051335406108,4.8108581413427896,Compute
122,301,32,"(1000000, 271)","(16, 4)",8500000,1.4197051335406108,4.8108581413427896,Compute
123,301,32,"(1000000, 271)","(16, 8)",8500000,1.4197051335406108,4.8108581413427896,Compute
124,301,32,"(1000000, 271)","(16, 16)",8500000,1.4197051335406108,4.8108581413427896,Compute
125,301,32,"(1000000, 271)","(32, 1)",8468750,1.4160538586347529,4.823262871219422,Compute
126,301,32,"(1000000, 271)","(32, 2)",8468750,1.4160538586347529,4.823262871219422,Compute
127,301,32,"(1000000, 271)","(32, 4)",8468750,1.4160538586347529,4.823262871219422,Compute
128,301,32,"(1000000, 271)","(32, 8)",8468750,1.4160538586347529,4.823262871219422,Compute
129,301,32,"(1000000, 271)","(64, 1)",8468750,1.4160538586347529,4.823262871219422,Compute
130,301,32,"(1000000, 271)","(64, 2)",8468750,1.4160538586347529,4.823262871219422,Compute
131,301,32,"(1000000, 271)","(64, 4)",8468750,1.4160538586347529,4.823262871219422,Compute
132,301,32,"(1000000, 271)","(128, 1)",8468750,1.4160538586347529,4.823262871219422,Compute
133,301,32,"(1000000, 271)","(128, 2)",8468750,1.4160538586347529,4.823262871219422,Compute
134,301,32,"(1000000, 271)","(256, 1)",8468750,1.4160538586347529,4.823262871219422,Compute
135,301,8,"(1000000,)","(8,)",125000,1.4026812191075273,4.86924606030276,Compute
136,301,8,"(1000000, 271)","(1, 8)",34000000,1.4196660127380483,4.810990710996366,Compute
137,301,8,"(1000000,)","(16,)",125000,1.4026812191075273,4.86924606030276,Compute
138,301,8,"(1000000, 271)","(1, 16)",34000000,1.4196660127380483,4.810990710996366,Compute
139,301,8,"(1000000,)","(32,)",125000,1.4026812191075273,4.86924606030276,Compute
140,301,8,"(1000000, 271)","(1, 32)",34000000,1.4196660127380483,4.810990710996366,Compute
141,301,8,"(1000000,)","(64,)",125000,1.4026812191075273,4.86924606030276,Compute
142,301,8,"(1000000, 271)","(1, 64)",34000000,1.4196660127380483,4.810990710996366,Compute
143,301,8,"(1000000,)","(128,)",125000,1.4026812191075273,4.86924606030276,Compute
144,301,8,"(1000000, 271)","(1, 128)",34000000,1.4196660127380483,4.810990710996366,Compute
145,301,8,"(1000000,)","(256,)",125000,1.4026812191075273,4.86924606030276,Compute
146,301,8,"(1000000, 271)","(1, 256)",34000000,1.4196660127380483,4.810990710996366,Compute
147,301,8,"(1000000, 271)","(2, 4)",34000000,1.4196660127380483,4.810990710996366,Compute
148,301,8,"(1000000, 271)","(2, 8)",34000000,1.4196660127380483,4.810990710996366,Compute
149,301,8,"(1000000, 271)","(2, 16)",34000000,1.4196660127380483,4.810990710996366,Compute
150,301,8,"(1000000, 271)","(2, 32)",34000000,1.4196660127380483,4.810990710996366,Compute
151,301,8,"(1000000, 271)","(2, 64)",34000000,1.4196660127380483,4.810990710996366,Compute
152,301,8,"(1000000, 271)","(2, 128)",34000000,1.4196660127380483,4.810990710996366,Compute
153,301,8,"(1000000, 271)","(4, 2)",34000000,1.4196660127380483,4.810990710996366,Compute
154,301,8,"(1000000, 271)","(4, 4)",34000000,1.4196660127380483,4.810990710996366,Compute
155,301,8,"(1000000, 271)","(4, 8)",34000000,1.4196660127380483,4.810990710996366,Compute
156,301,8,"(1000000, 271)","(4, 16)",34000000,1.4196660127380483,4.810990710996366,Compute
157,301,8,"(1000000, 271)","(4, 32)",34000000,1.4196660127380483,4.810990710996366,Compute
158,301,8,"(1000000, 271)","(4, 64)",34000000,1.4196660127380483,4.810990710996366,Compute
